matrix,combination,count,win_rate,profit_factor,avg_return
ADXxVol,20-25 | 1-1.5,49.0,0.5510204081632653,2.9090131211849193,0.02737966693877551
RSxADX,<50 | 20-25,204.0,0.5343137254901961,1.995467532171383,0.014623064975369455
ADXxVol,<20 | 1.5-2,42.0,0.5952380952380952,1.8803876964742459,0.013475135476190477
RSxADX,<50 | >35,341.0,0.5131964809384164,1.8099960724774253,0.01376742431085044
RSxVol,<50 | 1-1.5,236.0,0.5084745762711864,1.7655411396002736,0.01481782244635193
ADXxVol,>35 | 1-1.5,105.0,0.5333333333333333,1.7585176143910404,0.017352146285714284
ADXxVol,>35 | >2,181.0,0.5082872928176796,1.7246485556540008,0.012489198950276243
SecxVol,<50 | 1-1.5,242.0,0.5041322314049587,1.7165617844128043,0.014019957531380753
RSxADX,<50 | <20,149.0,0.5570469798657718,1.6416993326023717,0.010495020810810812
ADXxVol,20-25 | 1.5-2,53.0,0.5283018867924528,1.608205177891752,0.008406813846153847
RSxVol,<50 | 1.5-2,298.0,0.5100671140939598,1.5234446161280641,0.008913448922558924
ADXxVol,20-25 | >2,128.0,0.4921875,1.508291501046379,0.008559281015625
ADXxVol,<20 | >2,84.0,0.5238095238095238,1.465067401326762,0.008564646746987953
SecxVol,<50 | 1.5-2,302.0,0.5033112582781457,1.4538964993577623,0.008035409966777408
RSxVol,<50 | >2,521.0,0.4817658349328215,1.4435569094345109,0.007717788265895953
SecxVol,<50 | >2,529.0,0.47448015122873344,1.4135902075501892,0.007237371783681215
ADXxVol,25-35 | 1.5-2,115.0,0.4956521739130435,1.3701750417216847,0.007092124782608695
RSxADX,70-85 | >35,44.0,0.5227272727272727,1.3456946001087293,0.009683903863636363
ADXxVol,<20 | 1-1.5,30.0,0.5666666666666667,1.3319229827535892,0.005440301000000001
ADXxVol,>35 | 1.5-2,122.0,0.4672131147540984,1.1296074012482975,0.0029227309836065574
