Symbol,Trading_Fitness,Primary_Tag,All_Tags,Turnover_Cr_20d,ATR_Pct,Stage2,FnO
PERSISTENT,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,256.7,2.67,True,True
OFSS,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,259.6,2.84,True,True
SOLARINDS,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,303.2,2.92,True,True
DIXON,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,514.2,2.5,True,True
SAIL,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,468.3,3.87,True,True
KALYANKJIL,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,716.8,3.29,True,True
MOTILALOFS,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,119.5,3.05,True,True
PAYTM,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,781.3,3.51,True,True
MCX,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,886.2,3.14,True,True
LODHA,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,156.6,3.24,True,True
ZYDUSLIFE,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,202.6,2.65,True,True
BHEL,100.0,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,343.7,2.81,True,True
UNIONBANK,93.6,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,210.5,2.39,True,True
CGPOWER,91.6,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,183.6,2.35,True,True
SONACOMS,91.4,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,163.8,2.35,True,True
TMCV,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,404.7,3.12,True,False
PTCIL,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,105.2,4.16,True,False
SYRMA,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,163.9,3.22,True,False
DEEPAKNTR,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,110.5,2.68,True,False
APARINDS,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,279.4,3.87,True,False
TEJASNET,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,191.6,3.7,True,False
NETWEB,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,1053.9,5.39,True,False
PARAS,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,231.3,5.69,True,False
DATAPATTNS,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,365.9,3.98,True,False
JYOTICNC,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,140.9,3.91,True,False
STLTECH,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,111.5,4.6,True,False
HFCL,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,434.5,4.18,True,False
AVALON,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,120.4,5.29,True,False
FLUOROCHEM,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,112.3,3.13,True,False
ENGINERSIN,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,155.1,3.73,True,False
AZAD,90.0,SWING_ELIGIBLE,SWING_ELIGIBLE,185.0,4.26,True,False
ABB,89.8,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,130.1,2.32,True,True
COFORGE,89.8,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,402.7,2.32,True,True
PNBHOUSING,89.5,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,130.4,2.32,True,True
NUVAMA,89.1,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,56.4,2.81,True,True
BEML,88.8,SWING_ELIGIBLE,SWING_ELIGIBLE,95.3,2.75,True,False
MTARTECH,87.4,SWING_ELIGIBLE,SWING_ELIGIBLE,89.5,3.4,True,False
SIEMENS,86.1,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,164.6,2.26,True,True
MIDHANI,85.6,SWING_ELIGIBLE,SWING_ELIGIBLE,82.3,4.24,True,False
ETERNAL,84.9,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,1220.9,2.23,True,True
ACMESOLAR,83.9,SWING_ELIGIBLE,SWING_ELIGIBLE,75.6,3.97,True,False
AARTIIND,83.7,SWING_ELIGIBLE,SWING_ELIGIBLE,74.8,3.06,True,False
E2E,83.2,SWING_ELIGIBLE,SWING_ELIGIBLE,72.8,5.3,True,False
ASTRAMICRO,81.5,SWING_ELIGIBLE,SWING_ELIGIBLE,66.0,3.24,True,False
DCBBANK,81.2,SWING_ELIGIBLE,SWING_ELIGIBLE,64.7,3.44,True,False
RATEGAIN,80.6,SWING_ELIGIBLE,SWING_ELIGIBLE,62.3,4.22,True,False
MOTHERSON,80.1,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,328.3,2.15,True,True
